case_id,n_scans,primary_variation_score,sensitivity_variation_score,n_primary_features_used,n_sensitivity_features_used,primary_variation_stratum,sensitivity_variation_stratum
case55,3,0.8685655267543825,0.8733698143021302,30.0,35.0,medium,medium
case66,3,0.862029343581666,1.0711345032324064,30.0,35.0,medium,high
case147,5,0.8458126929793691,0.7781393457340605,30.0,35.0,medium,medium
case101,4,0.8307224587717004,0.9045207055088562,30.0,35.0,medium,medium
case142,3,0.8294418943889643,0.7776607570691639,30.0,35.0,medium,medium
case49,3,0.8159901146011095,0.7900403393437195,30.0,35.0,medium,medium
case19,5,0.8016450005631118,0.8009440909709337,30.0,35.0,medium,medium
case113,5,0.7881020376194889,0.8002655443814918,30.0,35.0,medium,medium
case116,1,0.7850920336794945,0.8072501209665159,30.0,35.0,medium,medium
case63,5,0.7775449874742889,0.7578209798847766,30.0,35.0,medium,medium
case123,3,0.7767804799546185,0.7583722561749244,30.0,35.0,medium,medium
case89,5,0.7568828883028987,0.6957016138760185,30.0,35.0,medium,low
case107,3,0.7557051912557181,0.7330666832749371,30.0,35.0,medium,medium
case117,5,0.7475912591191954,0.7543150240641223,30.0,35.0,medium,medium
case32,5,0.7471179815073334,0.7047487428336819,30.0,35.0,medium,low
case36,6,0.7425519958925859,0.7016886527608068,30.0,35.0,medium,low
case124,3,0.7217468414309234,0.7015681097866636,30.0,35.0,medium,low
case141,3,0.7214315311873798,0.7410060006884863,30.0,35.0,medium,medium
case84,3,0.718465303831254,0.76886068267853,30.0,35.0,medium,medium
case90,3,0.7146458446663732,0.6652358783691885,30.0,35.0,medium,low
case53,1,0.7140316115857019,0.8468452987604532,30.0,35.0,medium,medium
case115,1,0.6948065050359753,0.6654224299897781,30.0,35.0,medium,low
case154,5,0.6890573395022201,0.7327063998804273,30.0,35.0,low,medium
case121,3,0.6882684200554555,0.68000258570466,30.0,35.0,low,low
case118,3,0.6819582139079619,0.7568495360811678,30.0,35.0,low,medium
case138,3,0.6749206531255777,0.7383710800767908,30.0,35.0,low,medium
case130,3,0.6645701744653872,0.6652317648861231,30.0,35.0,low,low
case80,3,0.6603605333151435,0.79715620600383,30.0,35.0,low,medium
case135,2,0.6585022344158513,0.6248096805800886,30.0,35.0,low,low
case2,5,0.6489863011816417,0.6546485317060688,30.0,35.0,low,low
case85,5,0.6468538914437179,0.6381197055268095,30.0,35.0,low,low
case140,2,0.6454051504280647,0.6543655678949889,30.0,35.0,low,low
case44,3,0.6439381023590017,0.6812702311167164,30.0,35.0,low,low
case91,1,0.6273561674296897,0.704893545032718,30.0,35.0,low,medium
case30,2,0.6075437833244366,0.6494555259876245,30.0,35.0,low,low
case114,3,0.6072002475475397,0.6268737600642962,30.0,35.0,low,low
case43,5,0.603860049551102,0.5942818770943441,30.0,35.0,low,low
case41,3,0.5965767534782928,0.5928274539534986,30.0,35.0,low,low
case42,3,0.5948445319717272,0.5658727446621056,30.0,35.0,low,low
case129,5,0.5938945863216509,0.6185532049725571,30.0,35.0,low,low
case81,3,0.589796595797106,0.6381866283832283,30.0,35.0,low,low
case125,3,0.5874222483690498,0.5797689243155233,30.0,35.0,low,low
case24,3,0.583519094235142,0.6118102460509245,30.0,35.0,low,low
case111,2,0.581724216054385,0.581644014879929,30.0,35.0,low,low
case156,3,0.5713874495500646,0.5465893934194371,30.0,35.0,low,low
case146,3,0.5592399850630703,0.6156913364703545,30.0,35.0,low,low
case7,3,0.5554677331606115,0.73878488867758,30.0,35.0,low,medium
case54,5,0.55085718000596,0.5416067387680165,30.0,35.0,low,low
case144,3,0.5094069044181454,0.5364278002930398,30.0,35.0,low,low
case149,3,0.5030719261518447,0.5679545435526056,30.0,35.0,low,low
case20,3,0.4641145159057704,0.5531202567358187,30.0,35.0,low,low
